scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
146,risk,quadratic-high,true,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
147,risk,quadratic-high,true,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
148,risk,quadratic-high,true,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
149,risk,quadratic-high,true,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
150,risk,quadratic-high,true,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
151,risk,quadratic-high,true,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
152,risk,quadratic-high,true,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
153,risk,quadratic-high,true,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
154,risk,quadratic-high,true,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
155,risk,quadratic-high,true,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
156,risk,quadratic-high,true,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
157,risk,quadratic-high,true,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
158,risk,quadratic-high,true,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
159,risk,quadratic-high,true,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
160,risk,quadratic-high,true,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
161,risk,quadratic-high,true,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
162,risk,quadratic-high,true,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
163,risk,quadratic-high,true,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
164,risk,quadratic-high,true,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
165,risk,quadratic-high,true,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
166,risk,quadratic-high,true,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
167,risk,quadratic-high,true,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
168,risk,quadratic-high,true,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
169,risk,quadratic-high,true,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
170,risk,quadratic-high,true,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
171,risk,quadratic-high,true,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
172,risk,quadratic-high,true,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
173,risk,quadratic-high,true,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
174,risk,quadratic-high,true,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
175,risk,quadratic-high,true,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
176,risk,quadratic-high,true,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
177,risk,quadratic-high,true,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
178,risk,quadratic-high,true,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
179,risk,quadratic-high,true,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
180,risk,quadratic-high,true,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
181,risk,quadratic-high,misspecified,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
182,risk,quadratic-high,misspecified,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
183,risk,quadratic-high,misspecified,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
184,risk,quadratic-high,misspecified,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
185,risk,quadratic-high,misspecified,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
186,risk,quadratic-high,misspecified,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
187,risk,quadratic-high,misspecified,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
188,risk,quadratic-high,misspecified,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
189,risk,quadratic-high,misspecified,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
190,risk,quadratic-high,misspecified,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
191,risk,quadratic-high,misspecified,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
192,risk,quadratic-high,misspecified,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
193,risk,quadratic-high,misspecified,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
194,risk,quadratic-high,misspecified,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
195,risk,quadratic-high,misspecified,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
196,risk,quadratic-high,misspecified,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
197,risk,quadratic-high,misspecified,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
198,risk,quadratic-high,misspecified,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
199,risk,quadratic-high,misspecified,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
200,risk,quadratic-high,misspecified,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
201,risk,quadratic-high,misspecified,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
202,risk,quadratic-high,misspecified,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
203,risk,quadratic-high,misspecified,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
204,risk,quadratic-high,misspecified,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
205,risk,quadratic-high,misspecified,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
206,risk,quadratic-high,misspecified,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
207,risk,quadratic-high,misspecified,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
208,risk,quadratic-high,misspecified,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
209,risk,quadratic-high,misspecified,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
210,risk,quadratic-high,misspecified,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
211,risk,quadratic-high,misspecified,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
212,risk,quadratic-high,misspecified,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
213,risk,quadratic-high,misspecified,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
214,risk,quadratic-high,misspecified,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
215,risk,quadratic-high,misspecified,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
216,risk,quadratic-high,misspecified,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
217,risk,non-monotonic,true,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
218,risk,non-monotonic,true,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
219,risk,non-monotonic,true,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
220,risk,non-monotonic,true,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
221,risk,non-monotonic,true,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
222,risk,non-monotonic,true,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
223,risk,non-monotonic,true,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
224,risk,non-monotonic,true,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
225,risk,non-monotonic,true,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
226,risk,non-monotonic,true,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
227,risk,non-monotonic,true,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
228,risk,non-monotonic,true,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
229,risk,non-monotonic,true,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
230,risk,non-monotonic,true,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
231,risk,non-monotonic,true,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
232,risk,non-monotonic,true,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
233,risk,non-monotonic,true,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
234,risk,non-monotonic,true,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
235,risk,non-monotonic,true,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
236,risk,non-monotonic,true,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
237,risk,non-monotonic,true,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
238,risk,non-monotonic,true,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
239,risk,non-monotonic,true,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
240,risk,non-monotonic,true,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
241,risk,non-monotonic,true,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
242,risk,non-monotonic,true,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
243,risk,non-monotonic,true,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
244,risk,non-monotonic,true,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
245,risk,non-monotonic,true,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
246,risk,non-monotonic,true,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
247,risk,non-monotonic,true,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
248,risk,non-monotonic,true,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
249,risk,non-monotonic,true,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
250,risk,non-monotonic,true,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
251,risk,non-monotonic,true,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
252,risk,non-monotonic,true,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
253,risk,non-monotonic,misspecified,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
254,risk,non-monotonic,misspecified,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
255,risk,non-monotonic,misspecified,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
256,risk,non-monotonic,misspecified,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
257,risk,non-monotonic,misspecified,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
258,risk,non-monotonic,misspecified,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
259,risk,non-monotonic,misspecified,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
260,risk,non-monotonic,misspecified,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
261,risk,non-monotonic,misspecified,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
262,risk,non-monotonic,misspecified,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
263,risk,non-monotonic,misspecified,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
264,risk,non-monotonic,misspecified,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
265,risk,non-monotonic,misspecified,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
266,risk,non-monotonic,misspecified,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
267,risk,non-monotonic,misspecified,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
268,risk,non-monotonic,misspecified,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
269,risk,non-monotonic,misspecified,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
270,risk,non-monotonic,misspecified,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
271,risk,non-monotonic,misspecified,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
272,risk,non-monotonic,misspecified,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
273,risk,non-monotonic,misspecified,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
274,risk,non-monotonic,misspecified,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
275,risk,non-monotonic,misspecified,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
276,risk,non-monotonic,misspecified,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
277,risk,non-monotonic,misspecified,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
278,risk,non-monotonic,misspecified,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
279,risk,non-monotonic,misspecified,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
280,risk,non-monotonic,misspecified,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
281,risk,non-monotonic,misspecified,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
282,risk,non-monotonic,misspecified,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
283,risk,non-monotonic,misspecified,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
284,risk,non-monotonic,misspecified,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
285,risk,non-monotonic,misspecified,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
286,risk,non-monotonic,misspecified,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
287,risk,non-monotonic,misspecified,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
288,risk,non-monotonic,misspecified,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
289,risk,constant,unobserved,unobserved,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
290,risk,constant,unobserved,unobserved,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
291,risk,constant,unobserved,unobserved,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
292,risk,constant,unobserved,unobserved,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
293,risk,constant,unobserved,unobserved,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
294,risk,constant,unobserved,unobserved,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
295,risk,constant,unobserved,unobserved,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
296,risk,constant,unobserved,unobserved,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
297,risk,constant,unobserved,unobserved,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
298,risk,constant,unobserved,unobserved,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
